"DATE","TIME PERIOD","Compounded euro short-term rate average rate, 12 months tenor (EST.B.EU000A2QQF57.CR)"
"2022-08-16","16 Aug 2022","-0.54901"
"2022-08-17","17 Aug 2022","-0.54770"
"2022-08-18","18 Aug 2022","-0.54639"
"2022-08-19","19 Aug 2022","-0.54507"
"2022-08-22","22 Aug 2022","-0.54125"
"2022-08-23","23 Aug 2022","-0.53980"
"2022-08-24","24 Aug 2022","-0.53847"
"2022-08-25","25 Aug 2022","-0.53715"
"2022-08-26","26 Aug 2022","-0.53583"
"2022-08-29","29 Aug 2022","-0.53202"
"2022-08-30","30 Aug 2022","-0.53049"
"2022-08-31","31 Aug 2022","-0.52917"
"2022-09-01","01 Sep 2022","-0.52787"
"2022-09-02","02 Sep 2022","-0.52655"
"2022-09-05","05 Sep 2022","-0.52281"
"2022-09-06","06 Sep 2022","-0.52127"
"2022-09-07","07 Sep 2022","-0.51995"
"2022-09-08","08 Sep 2022","-0.51860"
"2022-09-09","09 Sep 2022","-0.51729"
"2022-09-12","12 Sep 2022","-0.51361"
"2022-09-13","13 Sep 2022","-0.51200"
"2022-09-14","14 Sep 2022","-0.51067"
"2022-09-15","15 Sep 2022","-0.50732"
"2022-09-16","16 Sep 2022","-0.50396"
"2022-09-19","19 Sep 2022","-0.49431"
"2022-09-20","20 Sep 2022","-0.49056"
"2022-09-21","21 Sep 2022","-0.48722"
"2022-09-22","22 Sep 2022","-0.48386"
"2022-09-23","23 Sep 2022","-0.48051"
"2022-09-26","26 Sep 2022","-0.47096"
"2022-09-27","27 Sep 2022","-0.46708"
"2022-09-28","28 Sep 2022","-0.46372"
"2022-09-29","29 Sep 2022","-0.46035"
"2022-09-30","30 Sep 2022","-0.45699"
"2022-10-03","03 Oct 2022","-0.44770"
"2022-10-04","04 Oct 2022","-0.44369"
"2022-10-05","05 Oct 2022","-0.44035"
"2022-10-06","06 Oct 2022","-0.43702"
"2022-10-07","07 Oct 2022","-0.43368"
"2022-10-10","10 Oct 2022","-0.42444"
"2022-10-11","11 Oct 2022","-0.42033"
"2022-10-12","12 Oct 2022","-0.41698"
"2022-10-13","13 Oct 2022","-0.41365"
